Designator,Footprint,Quantity,Value,LCSC Part #
C1,2220,1,0.1u,C5290327
"C10, C11, C13, C14, C15, C19, C20, C21, C22, C24, C25, C26, C27",0603,13,100n,
"C12, C2",0603,2,1u,
"C16, C17",0603,2,8p,
"C18, C23, C9",0603,3,4u7,
"C3, C8",0603,2,10u,
"C4, C5, C7",0603,3,0.1u,
C6,0603,1,120u,
D1,USON-10_L2.5-W1.0-P0.50-BL,1,TPD4E05U06DQAR_C138714,C138714
"D2, D3, D4",0603,3,LED,
FB1,L0603,1,100R@100MHz,C107332
J1,HDR-SMD_6P-P2.54-V-M-LS4.8_R2,1,ProgHeader,C2883763
"J111, J121",SAMTEC_SSW-132-24-L-D,2,SSW-132-24-L-D,
J2,1824460000 - LSF-SMT 3.500690 3.5SN BK TU,1,Power,
J3,1824460000 - LSF-SMT 3.500690 3.5SN BK TU,1,Buttons,
J4,1824460000 - LSF-SMT 3.500690 3.5SN BK TU,1,Reserve2,
L1,0603,1,27nH,C12100
"R1, R2",2512,2,100k,C2779441
"R10, R7",0603,2,470,
"R11, R14, R15, R16, R17, R18, R19, R20, R21, R9",0603,10,10k,
"R12, R13, R22, R23, R8",0603,5,1k5,
"R24, R25, R26, R27",0603,4,0,
"R3, R4",0603,2,5k1,
R5,0603,1,680,
R6,0603,1,25k,
"RN1, RN10, RN11, RN12, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9",RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,12,4x680R,C25510
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
TP1,TestPoint_Pad_D1.0mm,1,GND,
TP2,TestPoint_Pad_D1.0mm,1,JTDI,
TP3,TestPoint_Pad_D1.0mm,1,JTMS-SWDIO,
TP4,TestPoint_Pad_D1.0mm,1,JTCK-SWCLK,
TP5,TestPoint_Pad_D1.0mm,1,JTDO-TraceSWO,
TP6,TestPoint_Pad_D1.0mm,1,RESET,
U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,STM32L151C8T6,C9861
"U10, U11, U4, U5, U6, U7, U8, U9",TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,8,"PCA9555PW,118",C128392
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,AP22652AW6-7,C5329413
U3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,LD1117S33CTR,C35879
USB1,USB-C-SMD_KH-TYPE-C-16P,1,KH-TYPE-C-16P,C709357
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL_SIT8008BI,1,16MHz,C498200
